Project Name,Deadline,Sub Task,Skills Required
Mobile Health App,03-10-2024,Deployment,"Flask, Docker, APIs"
Banking System,24-10-2025,Backend Development,"Java, Spring Boot, SQL"
Online Learning Platform,20-09-2025,Cloud Setup,"AWS, Azure, Kubernetes"
Banking System,25-09-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
AI Chatbot,30-09-2025,Cloud Setup,"AWS, Azure, Kubernetes"
Online Learning Platform,12-10-2025,Frontend Development,"HTML, CSS, JavaScript, React"
AI Chatbot,21-09-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
AI Chatbot,16-10-2025,Deployment,"Flask, Docker, APIs"
AI Chatbot,01-11-2025,Payment Gateway Integration,"APIs, Security, Java"
AI Chatbot,10-10-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
E-commerce Website,06-11-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
Mobile Health App,28-09-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
AI Chatbot,06-11-2025,Backend Development,"Java, Spring Boot, SQL"
AI Chatbot,16-10-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
Online Learning Platform,15-10-2025,Payment Gateway Integration,"APIs, Security, Java"
Banking System,10-11-2025,Deployment,"Flask, Docker, APIs"
Online Learning Platform,29-09-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
AI Chatbot,24-10-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
AI Chatbot,31-10-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
E-commerce Website,04-10-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
Mobile Health App,10-10-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
AI Chatbot,20-09-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
Banking System,08-10-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
Online Learning Platform,08-11-2025,Backend Development,"Java, Spring Boot, SQL"
Mobile Health App,02-11-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
E-commerce Website,27-09-2025,Deployment,"Flask, Docker, APIs"
AI Chatbot,17-10-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
Banking System,18-09-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
AI Chatbot,03-10-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
Banking System,26-10-2025,Payment Gateway Integration,"APIs, Security, Java"
Online Learning Platform,30-10-2025,Frontend Development,"HTML, CSS, JavaScript, React"
Banking System,23-09-2025,Backend Development,"Java, Spring Boot, SQL"
E-commerce Website,31-10-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
Online Learning Platform,03-11-2025,Payment Gateway Integration,"APIs, Security, Java"
Mobile Health App,20-09-2025,Frontend Development,"HTML, CSS, JavaScript, React"
Online Learning Platform,26-09-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
E-commerce Website,05-11-2025,Payment Gateway Integration,"APIs, Security, Java"
Banking System,09-10-2025,Frontend Development,"HTML, CSS, JavaScript, React"
E-commerce Website,23-09-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
E-commerce Website,06-11-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
Banking System,06-10-2025,Payment Gateway Integration,"APIs, Security, Java"
Online Learning Platform,17-09-2025,Cloud Setup,"AWS, Azure, Kubernetes"
Online Learning Platform,01-11-2025,Backend Development,"Java, Spring Boot, SQL"
Mobile Health App,08-11-2025,App Development,"Kotlin, Swift, Firebase"
Mobile Health App,10-11-2025,Payment Gateway Integration,"APIs, Security, Java"
Online Learning Platform,24-09-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
Banking System,24-10-2025,Deployment,"Flask, Docker, APIs"
E-commerce Website,23-10-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
Banking System,19-10-2025,Frontend Development,"HTML, CSS, JavaScript, React"
E-commerce Website,07-10-2025,App Development,"Kotlin, Swift, Firebase"
Banking System,22-10-2025,Frontend Development,"HTML, CSS, JavaScript, React"
Mobile Health App,19-09-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
Online Learning Platform,19-09-2025,Payment Gateway Integration,"APIs, Security, Java"
Banking System,19-09-2025,Frontend Development,"HTML, CSS, JavaScript, React"
Banking System,10-11-2025,Backend Development,"Java, Spring Boot, SQL"
AI Chatbot,18-09-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
Online Learning Platform,31-10-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
AI Chatbot,25-09-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
Online Learning Platform,13-10-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
Online Learning Platform,30-09-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
E-commerce Website,23-10-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
AI Chatbot,14-10-2025,Cloud Setup,"AWS, Azure, Kubernetes"
E-commerce Website,02-10-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
AI Chatbot,10-11-2025,Cloud Setup,"AWS, Azure, Kubernetes"
AI Chatbot,10-11-2025,App Development,"Kotlin, Swift, Firebase"
Banking System,06-10-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
Mobile Health App,27-09-2025,Cloud Setup,"AWS, Azure, Kubernetes"
Banking System,05-10-2025,Backend Development,"Java, Spring Boot, SQL"
E-commerce Website,02-10-2025,App Development,"Kotlin, Swift, Firebase"
Online Learning Platform,09-11-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
Online Learning Platform,14-10-2025,Backend Development,"Java, Spring Boot, SQL"
AI Chatbot,23-09-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
Banking System,19-10-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
E-commerce Website,07-10-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
AI Chatbot,30-09-2025,App Development,"Kotlin, Swift, Firebase"
E-commerce Website,09-10-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
Online Learning Platform,13-10-2025,App Development,"Kotlin, Swift, Firebase"
Mobile Health App,09-10-2025,Payment Gateway Integration,"APIs, Security, Java"
Mobile Health App,23-10-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
AI Chatbot,25-09-2025,Cloud Setup,"AWS, Azure, Kubernetes"
Banking System,10-10-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
Banking System,19-09-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
Mobile Health App,30-09-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
Mobile Health App,01-11-2025,Frontend Development,"HTML, CSS, JavaScript, React"
Mobile Health App,13-10-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
Online Learning Platform,11-10-2025,Backend Development,"Java, Spring Boot, SQL"
Online Learning Platform,08-10-2025,Frontend Development,"HTML, CSS, JavaScript, React"
Banking System,03-10-2025,Payment Gateway Integration,"APIs, Security, Java"
Banking System,24-09-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
E-commerce Website,06-11-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
Banking System,15-10-2025,Frontend Development,"HTML, CSS, JavaScript, React"
E-commerce Website,29-09-2025,Frontend Development,"HTML, CSS, JavaScript, React"
Mobile Health App,27-10-2025,Deployment,"Flask, Docker, APIs"
Mobile Health App,07-11-2025,Cloud Setup,"AWS, Azure, Kubernetes"
Mobile Health App,24-09-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
E-commerce Website,31-10-2025,App Development,"Kotlin, Swift, Firebase"
AI Chatbot,05-11-2025,Deployment,"Flask, Docker, APIs"
E-commerce Website,02-10-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
Online Learning Platform,02-11-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
E-commerce Website,06-10-2025,App Development,"Kotlin, Swift, Firebase"
Online Learning Platform,04-10-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
AI Chatbot,17-10-2025,Frontend Development,"HTML, CSS, JavaScript, React"
Banking System,02-11-2025,Deployment,"Flask, Docker, APIs"
AI Chatbot,08-10-2025,Deployment,"Flask, Docker, APIs"
Banking System,26-09-2025,Payment Gateway Integration,"APIs, Security, Java"
Mobile Health App,15-10-2025,Payment Gateway Integration,"APIs, Security, Java"
E-commerce Website,20-09-2025,Backend Development,"Java, Spring Boot, SQL"
AI Chatbot,24-09-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
Online Learning Platform,29-09-2025,Payment Gateway Integration,"APIs, Security, Java"
Online Learning Platform,08-11-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
AI Chatbot,27-10-2025,Frontend Development,"HTML, CSS, JavaScript, React"
Banking System,29-10-2025,Cloud Setup,"AWS, Azure, Kubernetes"
Mobile Health App,03-11-2025,Backend Development,"Java, Spring Boot, SQL"
Online Learning Platform,20-09-2025,Backend Development,"Java, Spring Boot, SQL"
Online Learning Platform,28-09-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
Online Learning Platform,06-10-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
Banking System,18-09-2025,Frontend Development,"HTML, CSS, JavaScript, React"
Online Learning Platform,07-10-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
Online Learning Platform,08-10-2025,Cloud Setup,"AWS, Azure, Kubernetes"
Banking System,27-09-2025,Frontend Development,"HTML, CSS, JavaScript, React"
E-commerce Website,21-09-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
Mobile Health App,23-09-2025,Cloud Setup,"AWS, Azure, Kubernetes"
AI Chatbot,17-09-2025,App Development,"Kotlin, Swift, Firebase"
E-commerce Website,08-10-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
Banking System,06-11-2025,Backend Development,"Java, Spring Boot, SQL"
Banking System,16-09-2025,App Development,"Kotlin, Swift, Firebase"
Banking System,20-09-2025,Deployment,"Flask, Docker, APIs"
Online Learning Platform,16-10-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
Banking System,24-09-2025,App Development,"Kotlin, Swift, Firebase"
Online Learning Platform,03-11-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
Mobile Health App,24-09-2025,Deployment,"Flask, Docker, APIs"
E-commerce Website,27-10-2025,App Development,"Kotlin, Swift, Firebase"
Mobile Health App,16-09-2025,Payment Gateway Integration,"APIs, Security, Java"
Mobile Health App,27-10-2025,Backend Development,"Java, Spring Boot, SQL"
E-commerce Website,29-09-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
Online Learning Platform,01-10-2025,Deployment,"Flask, Docker, APIs"
Mobile Health App,12-10-2025,Payment Gateway Integration,"APIs, Security, Java"
Online Learning Platform,12-10-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
AI Chatbot,23-09-2025,Payment Gateway Integration,"APIs, Security, Java"
AI Chatbot,28-10-2025,App Development,"Kotlin, Swift, Firebase"
AI Chatbot,03-11-2025,Cloud Setup,"AWS, Azure, Kubernetes"
Banking System,22-10-2025,Cloud Setup,"AWS, Azure, Kubernetes"
Mobile Health App,16-10-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
Online Learning Platform,28-10-2025,Deployment,"Flask, Docker, APIs"
Mobile Health App,03-10-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
E-commerce Website,29-09-2025,App Development,"Kotlin, Swift, Firebase"
AI Chatbot,14-10-2025,Frontend Development,"HTML, CSS, JavaScript, React"
Banking System,20-09-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
Online Learning Platform,16-10-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
Banking System,25-10-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
Mobile Health App,09-11-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
AI Chatbot,18-09-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
Mobile Health App,24-09-2025,Frontend Development,"HTML, CSS, JavaScript, React"
E-commerce Website,30-09-2025,App Development,"Kotlin, Swift, Firebase"
Banking System,09-11-2025,Deployment,"Flask, Docker, APIs"
Online Learning Platform,28-09-2025,App Development,"Kotlin, Swift, Firebase"
Online Learning Platform,10-10-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
Mobile Health App,03-11-2025,Deployment,"Flask, Docker, APIs"
Online Learning Platform,23-09-2025,Payment Gateway Integration,"APIs, Security, Java"
Online Learning Platform,03-11-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
Mobile Health App,05-11-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
AI Chatbot,13-10-2025,App Development,"Kotlin, Swift, Firebase"
Mobile Health App,22-09-2025,Deployment,"Flask, Docker, APIs"
Online Learning Platform,01-10-2025,Cloud Setup,"AWS, Azure, Kubernetes"
E-commerce Website,24-09-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
Mobile Health App,10-11-2025,Payment Gateway Integration,"APIs, Security, Java"
Mobile Health App,28-09-2025,Deployment,"Flask, Docker, APIs"
Banking System,10-10-2025,Cloud Setup,"AWS, Azure, Kubernetes"
Banking System,18-09-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
Mobile Health App,03-10-2025,Payment Gateway Integration,"APIs, Security, Java"
AI Chatbot,17-10-2025,Deployment,"Flask, Docker, APIs"
AI Chatbot,28-09-2025,App Development,"Kotlin, Swift, Firebase"
E-commerce Website,19-09-2025,Frontend Development,"HTML, CSS, JavaScript, React"
Mobile Health App,05-10-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
Mobile Health App,08-10-2025,Cloud Setup,"AWS, Azure, Kubernetes"
Banking System,13-10-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
Banking System,05-10-2025,Deployment,"Flask, Docker, APIs"
Mobile Health App,23-10-2025,App Development,"Kotlin, Swift, Firebase"
AI Chatbot,03-10-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
AI Chatbot,25-09-2025,Payment Gateway Integration,"APIs, Security, Java"
AI Chatbot,05-11-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
Banking System,06-10-2025,Payment Gateway Integration,"APIs, Security, Java"
Banking System,04-11-2025,Deployment,"Flask, Docker, APIs"
Online Learning Platform,13-10-2025,Payment Gateway Integration,"APIs, Security, Java"
E-commerce Website,21-10-2025,Backend Development,"Java, Spring Boot, SQL"
AI Chatbot,23-09-2025,Cloud Setup,"AWS, Azure, Kubernetes"
Banking System,07-10-2025,Payment Gateway Integration,"APIs, Security, Java"
E-commerce Website,25-10-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
AI Chatbot,25-10-2025,Frontend Development,"HTML, CSS, JavaScript, React"
AI Chatbot,08-11-2025,Backend Development,"Java, Spring Boot, SQL"
AI Chatbot,10-11-2025,Backend Development,"Java, Spring Boot, SQL"
Online Learning Platform,04-11-2025,Frontend Development,"HTML, CSS, JavaScript, React"
Mobile Health App,07-10-2025,Backend Development,"Java, Spring Boot, SQL"
AI Chatbot,04-10-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
Mobile Health App,30-09-2025,Frontend Development,"HTML, CSS, JavaScript, React"
Mobile Health App,19-10-2025,Frontend Development,"HTML, CSS, JavaScript, React"
Banking System,04-11-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
E-commerce Website,29-09-2025,Cloud Setup,"AWS, Azure, Kubernetes"
Banking System,04-11-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
E-commerce Website,13-10-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
Mobile Health App,14-10-2025,Frontend Development,"HTML, CSS, JavaScript, React"
Online Learning Platform,19-10-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
Banking System,27-10-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
Mobile Health App,14-10-2025,Backend Development,"Java, Spring Boot, SQL"
AI Chatbot,19-10-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
Online Learning Platform,30-10-2025,App Development,"Kotlin, Swift, Firebase"
Mobile Health App,07-11-2025,App Development,"Kotlin, Swift, Firebase"
Mobile Health App,21-09-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
E-commerce Website,06-10-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
Online Learning Platform,16-09-2025,Payment Gateway Integration,"APIs, Security, Java"
Mobile Health App,23-09-2025,Deployment,"Flask, Docker, APIs"
Mobile Health App,14-10-2025,Frontend Development,"HTML, CSS, JavaScript, React"
Banking System,10-10-2025,App Development,"Kotlin, Swift, Firebase"
AI Chatbot,03-11-2025,Deployment,"Flask, Docker, APIs"
Banking System,25-10-2025,Deployment,"Flask, Docker, APIs"
E-commerce Website,27-10-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
Mobile Health App,05-11-2025,Payment Gateway Integration,"APIs, Security, Java"
AI Chatbot,30-09-2025,Frontend Development,"HTML, CSS, JavaScript, React"
E-commerce Website,06-11-2025,App Development,"Kotlin, Swift, Firebase"
Mobile Health App,13-10-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
Banking System,20-09-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
AI Chatbot,16-10-2025,Payment Gateway Integration,"APIs, Security, Java"
Online Learning Platform,02-10-2025,Frontend Development,"HTML, CSS, JavaScript, React"
Online Learning Platform,22-09-2025,Payment Gateway Integration,"APIs, Security, Java"
Banking System,22-10-2025,Backend Development,"Java, Spring Boot, SQL"
E-commerce Website,17-10-2025,Backend Development,"Java, Spring Boot, SQL"
Banking System,02-11-2025,App Development,"Kotlin, Swift, Firebase"
E-commerce Website,24-10-2025,App Development,"Kotlin, Swift, Firebase"
Mobile Health App,05-10-2025,App Development,"Kotlin, Swift, Firebase"
Mobile Health App,20-09-2025,Deployment,"Flask, Docker, APIs"
AI Chatbot,04-11-2025,Cloud Setup,"AWS, Azure, Kubernetes"
Online Learning Platform,02-10-2025,Frontend Development,"HTML, CSS, JavaScript, React"
AI Chatbot,21-10-2025,Cloud Setup,"AWS, Azure, Kubernetes"
E-commerce Website,30-09-2025,Backend Development,"Java, Spring Boot, SQL"
AI Chatbot,08-10-2025,Cloud Setup,"AWS, Azure, Kubernetes"
E-commerce Website,26-10-2025,Payment Gateway Integration,"APIs, Security, Java"
AI Chatbot,13-10-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
Mobile Health App,23-09-2025,Payment Gateway Integration,"APIs, Security, Java"
Mobile Health App,26-09-2025,Cloud Setup,"AWS, Azure, Kubernetes"
AI Chatbot,07-10-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
Mobile Health App,08-10-2025,Frontend Development,"HTML, CSS, JavaScript, React"
Online Learning Platform,18-09-2025,Deployment,"Flask, Docker, APIs"
Banking System,01-10-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
Banking System,29-09-2025,Cloud Setup,"AWS, Azure, Kubernetes"
Online Learning Platform,04-10-2025,Deployment,"Flask, Docker, APIs"
Online Learning Platform,17-10-2025,Backend Development,"Java, Spring Boot, SQL"
Mobile Health App,03-10-2025,App Development,"Kotlin, Swift, Firebase"
Mobile Health App,04-10-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
Mobile Health App,17-09-2025,Payment Gateway Integration,"APIs, Security, Java"
