Project Name,Deadline,Sub Task,Skills Required
Online Learning Platform,23-09-2025,Backend Development,"Java, Spring Boot, SQL"
AI Chatbot,10-10-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
Online Learning Platform,30-09-2025,Payment Gateway Integration,"APIs, Security, Java"
Mobile Health App,29-09-2025,App Development,"Kotlin, Swift, Firebase"
AI Chatbot,10-10-2025,App Development,"Kotlin, Swift, Firebase"
E-commerce Website,03-10-2025,Cloud Setup,"AWS, Azure, Kubernetes"
E-commerce Website,17-10-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
Mobile Health App,22-10-2025,App Development,"Kotlin, Swift, Firebase"
Mobile Health App,16-09-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
E-commerce Website,20-09-2025,Cloud Setup,"AWS, Azure, Kubernetes"
Online Learning Platform,16-10-2025,Backend Development,"Java, Spring Boot, SQL"
Mobile Health App,24-09-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
Online Learning Platform,31-10-2025,Deployment,"Flask, Docker, APIs"
E-commerce Website,26-10-2025,Deployment,"Flask, Docker, APIs"
AI Chatbot,18-10-2025,Frontend Development,"HTML, CSS, JavaScript, React"
Online Learning Platform,25-09-2025,Payment Gateway Integration,"APIs, Security, Java"
Mobile Health App,04-10-2025,Cloud Setup,"AWS, Azure, Kubernetes"
AI Chatbot,10-10-2025,Backend Development,"Java, Spring Boot, SQL"
AI Chatbot,31-10-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
Banking System,19-10-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
Mobile Health App,27-09-2025,Cloud Setup,"AWS, Azure, Kubernetes"
E-commerce Website,27-09-2025,Payment Gateway Integration,"APIs, Security, Java"
AI Chatbot,25-10-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
AI Chatbot,24-10-2025,Backend Development,"Java, Spring Boot, SQL"
Banking System,17-09-2025,Payment Gateway Integration,"APIs, Security, Java"
AI Chatbot,31-10-2025,App Development,"Kotlin, Swift, Firebase"
AI Chatbot,19-09-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
Mobile Health App,04-10-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
AI Chatbot,06-10-2025,Backend Development,"Java, Spring Boot, SQL"
Banking System,03-11-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
Banking System,25-09-2025,Cloud Setup,"AWS, Azure, Kubernetes"
E-commerce Website,18-09-2025,Frontend Development,"HTML, CSS, JavaScript, React"
Mobile Health App,03-10-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
Mobile Health App,11-10-2025,Deployment,"Flask, Docker, APIs"
AI Chatbot,22-09-2025,Deployment,"Flask, Docker, APIs"
Online Learning Platform,04-10-2025,Frontend Development,"HTML, CSS, JavaScript, React"
E-commerce Website,21-10-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
E-commerce Website,20-09-2025,Deployment,"Flask, Docker, APIs"
Banking System,06-10-2025,Deployment,"Flask, Docker, APIs"
Online Learning Platform,02-11-2025,Deployment,"Flask, Docker, APIs"
Online Learning Platform,22-10-2025,Deployment,"Flask, Docker, APIs"
AI Chatbot,14-10-2025,App Development,"Kotlin, Swift, Firebase"
Mobile Health App,04-11-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
Online Learning Platform,01-10-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
AI Chatbot,03-11-2025,Frontend Development,"HTML, CSS, JavaScript, React"
Online Learning Platform,09-10-2025,App Development,"Kotlin, Swift, Firebase"
Mobile Health App,29-09-2025,Backend Development,"Java, Spring Boot, SQL"
Online Learning Platform,17-10-2025,Frontend Development,"HTML, CSS, JavaScript, React"
Banking System,05-10-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
Banking System,12-10-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
Banking System,03-11-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
Online Learning Platform,06-11-2025,Frontend Development,"HTML, CSS, JavaScript, React"
AI Chatbot,28-10-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
AI Chatbot,25-10-2025,Backend Development,"Java, Spring Boot, SQL"
Banking System,05-10-2025,Payment Gateway Integration,"APIs, Security, Java"
AI Chatbot,12-10-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
Banking System,15-10-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
Online Learning Platform,19-09-2025,App Development,"Kotlin, Swift, Firebase"
Online Learning Platform,04-10-2025,Deployment,"Flask, Docker, APIs"
AI Chatbot,21-10-2025,Cloud Setup,"AWS, Azure, Kubernetes"
Banking System,05-10-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
E-commerce Website,21-09-2025,Frontend Development,"HTML, CSS, JavaScript, React"
E-commerce Website,17-09-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
Banking System,03-11-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
AI Chatbot,06-11-2025,Deployment,"Flask, Docker, APIs"
Mobile Health App,20-10-2025,App Development,"Kotlin, Swift, Firebase"
Online Learning Platform,08-10-2025,Frontend Development,"HTML, CSS, JavaScript, React"
AI Chatbot,08-10-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
Banking System,04-10-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
E-commerce Website,22-09-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
Online Learning Platform,16-09-2025,Backend Development,"Java, Spring Boot, SQL"
Online Learning Platform,16-09-2025,Deployment,"Flask, Docker, APIs"
Online Learning Platform,28-09-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
Online Learning Platform,03-11-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
Mobile Health App,13-10-2025,Deployment,"Flask, Docker, APIs"
AI Chatbot,27-09-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
Banking System,16-10-2025,Payment Gateway Integration,"APIs, Security, Java"
Banking System,09-11-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
Banking System,04-11-2025,Backend Development,"Java, Spring Boot, SQL"
Banking System,18-09-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
AI Chatbot,08-10-2025,Cloud Setup,"AWS, Azure, Kubernetes"
AI Chatbot,25-09-2025,Deployment,"Flask, Docker, APIs"
Mobile Health App,11-10-2025,App Development,"Kotlin, Swift, Firebase"
AI Chatbot,03-10-2025,Frontend Development,"HTML, CSS, JavaScript, React"
Mobile Health App,26-09-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
Banking System,21-09-2025,Deployment,"Flask, Docker, APIs"
E-commerce Website,29-09-2025,Payment Gateway Integration,"APIs, Security, Java"
E-commerce Website,07-11-2025,Payment Gateway Integration,"APIs, Security, Java"
Banking System,10-11-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
Online Learning Platform,29-09-2025,Cloud Setup,"AWS, Azure, Kubernetes"
E-commerce Website,06-10-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
Mobile Health App,04-10-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
AI Chatbot,23-09-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
Banking System,03-11-2025,App Development,"Kotlin, Swift, Firebase"
Online Learning Platform,21-09-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
AI Chatbot,31-10-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
Mobile Health App,25-09-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
E-commerce Website,08-10-2025,Cloud Setup,"AWS, Azure, Kubernetes"
Mobile Health App,06-11-2025,App Development,"Kotlin, Swift, Firebase"
Online Learning Platform,27-10-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
E-commerce Website,16-09-2025,Frontend Development,"HTML, CSS, JavaScript, React"
Online Learning Platform,29-10-2025,Backend Development,"Java, Spring Boot, SQL"
Banking System,06-10-2025,Backend Development,"Java, Spring Boot, SQL"
E-commerce Website,08-10-2025,App Development,"Kotlin, Swift, Firebase"
E-commerce Website,14-10-2025,Frontend Development,"HTML, CSS, JavaScript, React"
Banking System,02-11-2025,App Development,"Kotlin, Swift, Firebase"
Banking System,04-10-2025,Frontend Development,"HTML, CSS, JavaScript, React"
E-commerce Website,14-10-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
AI Chatbot,24-09-2025,Cloud Setup,"AWS, Azure, Kubernetes"
Mobile Health App,31-10-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
AI Chatbot,01-11-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
Online Learning Platform,06-11-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
E-commerce Website,28-10-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
Mobile Health App,31-10-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
E-commerce Website,29-10-2025,Payment Gateway Integration,"APIs, Security, Java"
E-commerce Website,22-10-2025,Payment Gateway Integration,"APIs, Security, Java"
AI Chatbot,20-10-2025,App Development,"Kotlin, Swift, Firebase"
Banking System,05-10-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
Banking System,07-10-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
E-commerce Website,02-10-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
E-commerce Website,03-10-2025,Payment Gateway Integration,"APIs, Security, Java"
Banking System,30-10-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
Mobile Health App,26-10-2025,Payment Gateway Integration,"APIs, Security, Java"
Banking System,06-11-2025,Payment Gateway Integration,"APIs, Security, Java"
AI Chatbot,19-10-2025,Backend Development,"Java, Spring Boot, SQL"
E-commerce Website,30-09-2025,Deployment,"Flask, Docker, APIs"
Banking System,07-11-2025,Payment Gateway Integration,"APIs, Security, Java"
Banking System,04-11-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
Online Learning Platform,19-09-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
Banking System,13-10-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
Mobile Health App,08-11-2025,Backend Development,"Java, Spring Boot, SQL"
Mobile Health App,06-10-2025,App Development,"Kotlin, Swift, Firebase"
Mobile Health App,24-09-2025,Backend Development,"Java, Spring Boot, SQL"
E-commerce Website,13-10-2025,App Development,"Kotlin, Swift, Firebase"
Online Learning Platform,09-11-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
Mobile Health App,03-11-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
Banking System,27-10-2025,Deployment,"Flask, Docker, APIs"
Online Learning Platform,04-10-2025,Cloud Setup,"AWS, Azure, Kubernetes"
E-commerce Website,09-10-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
E-commerce Website,07-10-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
Banking System,17-09-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
E-commerce Website,01-10-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
Mobile Health App,22-09-2025,Cloud Setup,"AWS, Azure, Kubernetes"
AI Chatbot,26-09-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
Banking System,14-10-2025,Backend Development,"Java, Spring Boot, SQL"
Online Learning Platform,03-10-2025,Payment Gateway Integration,"APIs, Security, Java"
AI Chatbot,04-11-2025,Cloud Setup,"AWS, Azure, Kubernetes"
AI Chatbot,25-10-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
Online Learning Platform,03-11-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
E-commerce Website,22-10-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
AI Chatbot,12-10-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
Online Learning Platform,23-09-2025,Payment Gateway Integration,"APIs, Security, Java"
Banking System,08-11-2025,App Development,"Kotlin, Swift, Firebase"
AI Chatbot,07-11-2025,App Development,"Kotlin, Swift, Firebase"
AI Chatbot,13-10-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
Mobile Health App,24-09-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
Banking System,13-10-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
Online Learning Platform,05-11-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
AI Chatbot,19-09-2025,Frontend Development,"HTML, CSS, JavaScript, React"
Banking System,08-10-2025,Cloud Setup,"AWS, Azure, Kubernetes"
AI Chatbot,24-09-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
AI Chatbot,08-10-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
Online Learning Platform,15-10-2025,Payment Gateway Integration,"APIs, Security, Java"
E-commerce Website,22-10-2025,Backend Development,"Java, Spring Boot, SQL"
Banking System,28-10-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
Mobile Health App,23-10-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
Mobile Health App,31-10-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
AI Chatbot,17-09-2025,Cloud Setup,"AWS, Azure, Kubernetes"
Mobile Health App,27-10-2025,Deployment,"Flask, Docker, APIs"
AI Chatbot,29-10-2025,Cloud Setup,"AWS, Azure, Kubernetes"
AI Chatbot,07-10-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
AI Chatbot,13-10-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
AI Chatbot,25-09-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
Online Learning Platform,17-10-2025,Backend Development,"Java, Spring Boot, SQL"
Online Learning Platform,27-10-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
Banking System,21-09-2025,Deployment,"Flask, Docker, APIs"
Mobile Health App,29-10-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
Mobile Health App,07-11-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
Mobile Health App,06-11-2025,App Development,"Kotlin, Swift, Firebase"
E-commerce Website,20-10-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
Mobile Health App,16-10-2025,Deployment,"Flask, Docker, APIs"
Online Learning Platform,27-09-2025,Deployment,"Flask, Docker, APIs"
Online Learning Platform,28-10-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
AI Chatbot,28-09-2025,Deployment,"Flask, Docker, APIs"
Mobile Health App,06-11-2025,Backend Development,"Java, Spring Boot, SQL"
AI Chatbot,12-10-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
AI Chatbot,26-09-2025,Frontend Development,"HTML, CSS, JavaScript, React"
Mobile Health App,05-10-2025,Frontend Development,"HTML, CSS, JavaScript, React"
E-commerce Website,27-10-2025,Frontend Development,"HTML, CSS, JavaScript, React"
Mobile Health App,08-11-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
Mobile Health App,18-09-2025,Cloud Setup,"AWS, Azure, Kubernetes"
Banking System,29-09-2025,Deployment,"Flask, Docker, APIs"
E-commerce Website,07-11-2025,Cloud Setup,"AWS, Azure, Kubernetes"
E-commerce Website,25-10-2025,Deployment,"Flask, Docker, APIs"
E-commerce Website,08-11-2025,App Development,"Kotlin, Swift, Firebase"
E-commerce Website,23-09-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
Banking System,29-10-2025,Backend Development,"Java, Spring Boot, SQL"
AI Chatbot,16-09-2025,Deployment,"Flask, Docker, APIs"
Online Learning Platform,02-11-2025,Backend Development,"Java, Spring Boot, SQL"
AI Chatbot,23-09-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
Online Learning Platform,30-10-2025,Cloud Setup,"AWS, Azure, Kubernetes"
Banking System,30-10-2025,Cloud Setup,"AWS, Azure, Kubernetes"
Banking System,23-09-2025,Frontend Development,"HTML, CSS, JavaScript, React"
AI Chatbot,11-10-2025,Cloud Setup,"AWS, Azure, Kubernetes"
AI Chatbot,30-09-2025,Payment Gateway Integration,"APIs, Security, Java"
Banking System,22-10-2025,Deployment,"Flask, Docker, APIs"
Mobile Health App,30-09-2025,Backend Development,"Java, Spring Boot, SQL"
Banking System,25-10-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
Online Learning Platform,10-11-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
Mobile Health App,21-10-2025,Backend Development,"Java, Spring Boot, SQL"
AI Chatbot,23-10-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
Mobile Health App,11-10-2025,Frontend Development,"HTML, CSS, JavaScript, React"
Mobile Health App,25-09-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
Mobile Health App,29-10-2025,Payment Gateway Integration,"APIs, Security, Java"
Online Learning Platform,01-11-2025,Cloud Setup,"AWS, Azure, Kubernetes"
AI Chatbot,31-10-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
E-commerce Website,05-10-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
E-commerce Website,26-09-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
E-commerce Website,29-09-2025,App Development,"Kotlin, Swift, Firebase"
Mobile Health App,09-10-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
E-commerce Website,20-09-2025,Deployment,"Flask, Docker, APIs"
AI Chatbot,30-09-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
Banking System,02-10-2025,App Development,"Kotlin, Swift, Firebase"
AI Chatbot,28-09-2025,Backend Development,"Java, Spring Boot, SQL"
Banking System,27-10-2025,Deployment,"Flask, Docker, APIs"
AI Chatbot,04-10-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
Mobile Health App,03-10-2025,Backend Development,"Java, Spring Boot, SQL"
AI Chatbot,11-10-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
E-commerce Website,17-10-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
AI Chatbot,01-10-2025,Backend Development,"Java, Spring Boot, SQL"
Banking System,15-10-2025,Backend Development,"Java, Spring Boot, SQL"
Online Learning Platform,14-10-2025,Frontend Development,"HTML, CSS, JavaScript, React"
AI Chatbot,30-09-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
Mobile Health App,22-09-2025,Testing & Debugging,"JUnit, Appium, Manual Testing"
Banking System,20-09-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
AI Chatbot,10-10-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
Online Learning Platform,22-09-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
Online Learning Platform,28-09-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
Online Learning Platform,24-10-2025,Backend Development,"Java, Spring Boot, SQL"
Banking System,27-09-2025,Cloud Setup,"AWS, Azure, Kubernetes"
E-commerce Website,20-09-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
Mobile Health App,28-09-2025,Payment Gateway Integration,"APIs, Security, Java"
E-commerce Website,30-09-2025,Data Preprocessing,"Python, Pandas, Data Cleaning"
E-commerce Website,01-10-2025,Frontend Development,"HTML, CSS, JavaScript, React"
E-commerce Website,09-11-2025,Frontend Development,"HTML, CSS, JavaScript, React"
Banking System,29-10-2025,Backend Development,"Java, Spring Boot, SQL"
Banking System,14-10-2025,UI/UX Design,"Figma, Adobe XD, Design Principles"
Online Learning Platform,19-10-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
Online Learning Platform,13-10-2025,Backend Development,"Java, Spring Boot, SQL"
AI Chatbot,20-10-2025,Deployment,"Flask, Docker, APIs"
Banking System,05-10-2025,Model Training,"Machine Learning, TensorFlow, PyTorch"
